2015-11-05,2015-11-04,2015-11-03

SZ002722,金轮股份
SZ002166,莱茵生物
SZ000567,海德股份
SZ002668,奥马电器
SZ002600,江粉磁材

#SH600446,金证股份
#SH600207,安彩高科
#SZ002423,中原特钢
#SZ002432,九安医疗
#SZ002337,赛象科技
#SZ000020,深华发A
#SZ000025,特力A
#SZ002506,协鑫集成
#SZ002043,兔宝宝
#SZ300191,潜能恒信
#SZ000005,世纪星源
#SZ002702,海欣食品
#SZ300314,戴维医疗
#SZ002260,德奥通航
#SH600868,梅雁吉祥
